datetime,open,low,high,close,volume
2023-11-20 9:30,450.53,450.52,450.82,450.805,615871
2023-11-20 9:31,450.8,450.79,451.15,451.14,259184
2023-11-20 9:32,451.14,450.99,451.21,451.04,235774
2023-11-20 9:33,451.06,451,451.14,451.03,148006
2023-11-20 9:34,451.04,451.01,451.23,451.22,165251
2023-11-20 9:35,451.22,451.15,451.41,451.35,286936
2023-11-20 9:36,451.33,451.32,451.4885,451.385,151379
2023-11-20 9:37,451.39,451.3,451.535,451.535,125217
2023-11-20 9:38,451.54,451.5387,451.67,451.55,169241
2023-11-20 9:39,451.55,451.48,451.74,451.52,237389
2023-11-20 9:40,451.52,451.3902,451.57,451.43,173252
2023-11-20 9:41,451.44,451.4301,451.64,451.6,145640
2023-11-20 9:42,451.6003,451.57,451.74,451.72,166369
2023-11-20 9:43,451.715,451.63,451.745,451.72,97000
2023-11-20 9:44,451.72,451.595,451.745,451.66,106823
2023-11-20 9:45,451.65,451.49,451.7,451.5,270029
2023-11-20 9:46,451.5,451.46,451.57,451.5,126073
2023-11-20 9:47,451.5,451.4,451.58,451.57,103481
2023-11-20 9:48,451.555,451.44,451.64,451.54,148903
2023-11-20 9:49,451.535,451.4201,451.575,451.46,107104
2023-11-20 9:50,451.46,451.455,451.68,451.6499,122433
2023-11-20 9:51,451.6499,451.62,451.75,451.7397,176931
2023-11-20 9:52,451.73,451.69,451.86,451.83,149691
2023-11-20 9:53,451.82,451.74,451.855,451.815,144357
2023-11-20 9:54,451.81,451.6,451.825,451.67,160661
2023-11-20 9:55,451.66,451.59,451.77,451.7017,172029
2023-11-20 9:56,451.7,451.675,451.8195,451.78,87750
2023-11-20 9:57,451.775,451.725,451.88,451.88,69751
2023-11-20 9:58,451.88,451.878,452.095,451.98,267382
2023-11-20 9:59,452,451.98,452.17,452.17,154281
2023-11-20 10:00,452.165,451.93,452.195,451.97,206413
2023-11-20 10:01,451.97,451.875,452.0471,452.02,117177
2023-11-20 10:02,452,451.99,452.08,452.05,111654
